 Al-Fatihah Ayat 1 –  Al-Baqarah Ayat 141
 Al-Baqarah Ayat 142 –  Al-Baqarah Ayat 252
 Al-Baqarah Ayat 253 –  Ali Imran Ayat 92
 Ali Imran Ayat 93 –  An-Nisa’ Ayat 23
 An-Nisa’ Ayat 24 –  An-Nisa’ Ayat 147
 An-Nisa’ Ayat 148 –  Al-Ma’idah Ayat 82
 Al-Ma’idah Ayat 83 –  Al-An’am Ayat 110
 Al-An’am Ayat 111 –  Al A’raf Ayat 87
 Al A’raf Ayat 88 –  Al-Anfal Ayat 40
 Al-Anfal Ayat 41 –  At-Taubah Ayat 92
 At-Taubah Ayat 93 –  Hud Ayat 5
 Hud Ayat 6 –  Yusuf Ayat 52
 Yusuf Ayat 53 –  Ibrahim Ayat 52
 Al-Hijr Ayat 1 – An-Nahl Ayat 128
 Al-Isra Ayat 1 –  Al-Kahf Ayat 74
 Al-Kahf Ayat 75 –  Ta-Ha Ayat 135
 Al-Anbiya Ayat 1 –  Al Hajj Ayat 78
 Al-Mu’minun Ayat 1 –  Al-Furqan Ayat 20
 Al-Furqan Ayat 21 –  An-Naml Ayat 55
 An-Naml Ayat 56 –  Al-Ankabut Ayat 45
 Al-Ankabut Ayat 46 –  Al-Azhab Ayat 30
 Al-Azhab Ayat 31 –  Yasin Ayat 27
 Yasin Ayat 28 –  Az-Zumar Ayat 31
 Az-Zumar Ayat 32 –  Fussilat Ayat 46
 Fussilat Ayat 47 –  Al-Jatsiyah Ayat 37
 Al-Ahqaf Ayat 1 –  Adz Dzariyat Ayat 30
 Adz Dzariyat Ayat 31 –  Al-Hadid Ayat 29
 Al-Mujadilah Ayat 1 –  At-Tahrim Ayat 12
 Al-Mulk Ayat 1 –  Al-Mursalat Ayat 50
 An-Naba’ Ayat 1 –  An-Nas Ayat 6
